,index,zn,black,rad,indus,ptratio,medv,lstat,nbgde,chas,ftyrgv,ID,crim,dis,tax,rm,age,nox
1837,254,0.0,396.9,24.0,18.1,,10.5,28.28,28.28,0.0,34567,387.0,24.3938,1.4672,666.0,4652.0,100.0,0.7
1838,193,52.5,88876599956788.0,6.0,88876599956788.0,88876599956788.0,22.3,7.6,7.6,0.0,34567,289,0.0459,7.3172,293.0,88876599956788.0,45.6,405.0
1839,417,0.0,391.71,xxxxx,19.58,14.7,14.6,29.53,29.53,0.0,34567,148,2.36862,1.4608,403.0,4926.0,xxxxx,871.0
1840,12,0.0,288.99,4.0,8.14,21.0,20.2,11.69,11.69,0.0,34567,19,0.80271,3.7965,307.0,5456.0,36.6,538.0
1841,6,12.5,396.9,5.0,7.87,15.2,,,,0.0,34567,12.0,,6.2267,311.0,6009.0,82.9,
1842,41,25.0,395.58,88876599956788.0,5.13,19.7,25.0,9.5,9.5,0.0,34567,64,88876599956788.0,7.9809,88876599956788.0,88876599956788.0,88876599956788.0,453.0
1843,372,gdhg7u8whui 784gryb,396.24,4.0,gdhg7u8whui 784gryb,18.4,20.3,9.97,9.97,gdhg7u8whui 784gryb,34567,310,0.3494,3.1025,304.0,5972.0,76.7,544.0
1844,415,0.0,396.9,5.0,19.58,14.7,13.4,26.82,26.82,1.0,34567,143,3.32105,1.3216,403.0,5403.0,100.0,871.0
1845,239,gdhg7u8whui 784gryb,380.79,24.0,18.1,20.2,20.8,10.19,10.19,0.0,34567,363,3.67822,2.1036,666.0,5362.0,gdhg7u8whui 784gryb,0.77
1846,97,0.0,396.9,5.0,19.58,14.7,13.4,26.82,26.82,1.0,34567,143,3.32105,1.3216,403.0,5403.0,100.0,871.0
1847,366,34.0,383.61,7.0,6.09,16.1,26.4,8.67,8.67,0.0,34567,303,0.09266,5.4917,329.0,6495.0,18.4,433.0
1848,416,0.0,,5.0,,14.7,13.8,27.8,27.8,,34567,146.0,2.37934,,,,100.0,
1849,16,0.0,394.54,4.0,8.14,21.0,14.5,19.88,19.88,-26543765432345.0,34567,24,0.98843,4.0952,307.0,5813.0,100.0,538.0
1850,155,0.0,387.38,8.0,6.2,17.4,37.6,3.13,3.13,0.0,34567,227,0.38214,3.2157,307.0,8.04,86.5,504.0
1851,253,0.0,285.83,88876599956788.0,18.1,20.2,8.8,88876599956788.0,88876599956788.0,0.0,34567,88876599956788,20.0849,1.4395,666.0,4368.0,91.2,88876599956788.0
1852,249,0.0,363.02,24.0,18.1,20.2,13.9,23.24,23.24,0.0,34567,377,15288.0,1.3449,666.0,6649.0,93.3,671.0
1853,333,0.0,306.38,4.0,8.14,21.0,14.8,17.28,17.28,0.0,34567,507,0.95577,4.4534,307.0,6047.0,88.8,538.0
1854,392,xxxxx,xxxxx,24.0,18.1,xxxxx,9.5,24.08,24.08,0.0,34567,xxxxx,xxxxx,1.9682,666.0,6.38,xxxxx,679.0
1855,265,0.0,gdhg7u8whui 784gryb,24.0,18.1,20.2,27.9,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,408,11.9511,1.2852,666.0,5608.0,100.0,659.0
1856,432,0.0,330.04,5.0,19.58,14.7,22.3,xxxxx,xxxxx,0.0,34567,xxxxx,2.44953,xxxxx,403.0,6402.0,95.2,605.0
1857,51,0.0,383.23,5.0,12.83,18.7,21.4,8.94,8.94,0.0,34567,76,0.09512,4.5026,398.0,6286.0,45.0,437.0
1858,136,60.0,393.37,1.0,2.93,15.6,31.1,5.03,5.03,0.0,34567,194.0,0.02187,6.2196,265.0,6.8,9.9,401.0
1859,434,0.0,348.13,5.0,19.58,14.7,19.1,12.03,12.03,0.0,34567,172,2.3139,2.3887,gdhg7u8whui 784gryb,5.88,97.3,605.0
1860,316,xxxxx,396.9,24.0,xxxxx,xxxxx,23.0,10.74,10.74,0.0,34567,481,5.82401,3.4242,666.0,xxxxx,64.7,xxxxx
1861,176,20.0,386.86,5.0,3.97,13.0,48.8,5.91,5.91,0.0,34567,263,0.52014,2.2885,264.0,8398.0,91.5,647.0
1862,211,0.0,390.7,4.0,9.9,18.4,17.8,18.33,18.33,0.0,34567,317,0.31827,3.9986,304.0,5914.0,83.2,544.0
1863,28,0.0,396.9,3.0,6.91,17.9,20.0,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,47,0.18836,5.1004,gdhg7u8whui 784gryb,5786.0,33.3,448.0
1864,97,0.0,396.9,5.0,19.58,14.7,13.4,26.82,26.82,1.0,34567,143,3.32105,1.3216,403.0,5403.0,100.0,871.0
1865,130,gdhg7u8whui 784gryb,392.63,3.0,2.46,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,gdhg7u8whui 784gryb,0.05602,3.1992,193.0,gdhg7u8whui 784gryb,53.6,488.0
1866,262,0.0,396.9,24.0,18.1,20.2,5.6,26.77,26.77,0.0,34567,401,25.0461,1.5888,666.0,5987.0,100.0,693.0
1867,353,12.5,395.6,5.0,7.87,15.2,22.9,12.43,12.43,0.0,34567,7,0.08829,5.5605,311.0,6012.0,66.6,524.0
1868,191,gdhg7u8whui 784gryb,394.72,1.0,gdhg7u8whui 784gryb,15.3,22.0,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,34567,286,0.01096,7.3073,300.0,6453.0,31.9,389.0
1869,360,20.0,390.3,5.0,3.97,13.0,43.5,,,0.0,34567,269.0,0.5405,,264.0,7.47,52.6,575.0
1870,56,25.0,390.64,4.0,4.86,19.0,22.9,7.51,7.51,0.0,34567,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,281.0,gdhg7u8whui 784gryb,46.7,426.0
1871,47,0.0,383.73,4.0,10.81,19.2,24.2,6.72,6.72,0.0,34567,71,0.08826,5.2873,88876599956788.0,6417.0,6.6,413.0
1872,247,0.0,xxxxx,24.0,18.1,20.2,xxxxx,34.77,34.77,0.0,34567,374,11.1081,1.1742,666.0,4906.0,100.0,668.0
1873,428,0.0,395.11,-26543765432345.0,19.58,14.7,-26543765432345.0,-26543765432345.0,-26543765432345.0,0.0,34567,165,2.24236,2422.0,403.0,5854.0,91.8,605.0
1874,80,0.0,391.5,6.0,10.01,17.8,19.3,13.61,13.61,0.0,34567,120,0.14476,2.7592,432.0,5731.0,65.2,547.0
1875,355,12.5,396.9,5.0,7.87,15.2,18.9,13.27,13.27,0.0,34567,12,88876599956788.0,6.2267,311.0,6009.0,82.9,524.0
1876,332,0.0,396.9,1.0,11.93,21.0,11.9,7.88,7.88,0.0,34567,506,0.04741,2505.0,273.0,6.03,80.8,573.0
1877,68,0.0,395.58,5.0,88876599956788.0,20.9,26.5,7.67,7.67,0.0,34567,102,0.11432,2.8561,384.0,6781.0,71.3,88876599956788.0
1878,438,0.0,390.96,5.0,4.05,16.6,29.4,5.33,5.33,0.0,34567,176,0.06664,3.1323,296.0,6546.0,33.1,0.51
1879,402,0.0,386.73,24.0,18.1,20.2,15.4,18.85,18.85,0.0,34567,444,9.96654,1.9784,666.0,6485.0,100.0,0.74
1880,294,,375.87,24.0,18.1,20.2,17.8,16.74,16.74,0.0,34567,454.0,8.24809,2.4527,666.0,7393.0,99.3,713.0
1881,184,20.0,390.77,88876599956788.0,88876599956788.0,18.6,88876599956788.0,6.58,6.58,1.0,34567,274,0.22188,4.3665,88876599956788.0,7691.0,88876599956788.0,88876599956788.0
1882,53,0.0,386.96,88876599956788.0,12.83,88876599956788.0,88876599956788.0,10.27,10.27,0.0,34567,88876599956788,88876599956788.0,4.0905,398.0,88876599956788.0,45.8,437.0
1883,249,,363.02,,18.1,20.2,13.9,23.24,23.24,0.0,34567,377.0,15288.0,1.3449,666.0,6649.0,93.3,671.0
1884,401,0.0,,24.0,18.1,20.2,18.4,16.59,16.59,0.0,34567,443.0,5.66637,2.0048,666.0,6219.0,,0.74
1885,310,0.0,393.37,24.0,18.1,20.2,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,34567,88876599956788,3.56868,2.8965,666.0,6437.0,75.0,88876599956788.0
1886,35,90.0,395.93,5.0,1.22,17.9,35.4,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,56,gdhg7u8whui 784gryb,8.6966,226.0,7249.0,21.9,403.0
1887,218,0.0,382.44,4.0,3.24,16.9,19.3,9.97,9.97,0.0,34567,329,0.06617,5.2146,430.0,5868.0,25.8,0.46
1888,299,0.0,255.23,gdhg7u8whui 784gryb,18.1,20.2,16.4,16.42,16.42,0.0,34567,gdhg7u8whui 784gryb,4.81213,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,6701.0,90.0,gdhg7u8whui 784gryb
1889,363,20.0,390.77,3.0,6.96,18.6,35.2,6.58,6.58,1.0,34567,274,0.22188,4.3665,223.0,7691.0,51.8,464.0
1890,254,gdhg7u8whui 784gryb,396.9,24.0,18.1,20.2,10.5,28.28,28.28,0.0,34567,387,24.3938,1.4672,666.0,gdhg7u8whui 784gryb,100.0,0.7
1891,313,0.0,349.48,24.0,xxxxx,xxxxx,12.0,24.91,24.91,0.0,34567,478,15.0234,2.1007,666.0,5304.0,97.3,xxxxx
1892,276,0.0,96.73,24.0,18.1,20.2,11.0,88876599956788.0,88876599956788.0,0.0,34567,88876599956788,7.36711,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,679.0
1893,353,12.5,395.6,5.0,,,22.9,12.43,12.43,0.0,34567,,,5.5605,311.0,6012.0,66.6,524.0
1894,388,xxxxx,3.65,24.0,18.1,20.2,11.7,xxxxx,xxxxx,0.0,34567,425,xxxxx,2.0635,666.0,5565.0,70.6,xxxxx
1895,52,0.0,373.66,5.0,xxxxx,xxxxx,xxxxx,11.97,11.97,0.0,34567,xxxxx,0.10153,4.0522,398.0,xxxxx,74.5,437.0
1896,414,0.0,396.9,4.0,21.89,21.2,14.4,34.41,34.41,0.0,34567,142.0,1.62864,1.4394,437.0,,100.0,
1897,373,0.0,350.45,4.0,9.9,gdhg7u8whui 784gryb,16.1,12.64,12.64,gdhg7u8whui 784gryb,34567,311,2.63548,2.5194,304.0,4973.0,37.8,544.0
1898,380,0.0,332.09,24.0,18.1,20.2,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,408,11.9511,1.2852,666.0,gdhg7u8whui 784gryb,100.0,gdhg7u8whui 784gryb
1899,108,0.0,338.92,5.0,xxxxx,14.7,27.0,5.5,5.5,xxxxx,34567,161,1.27346,xxxxx,403.0,6.25,92.6,605.0
1900,435,0.0,396.9,5.0,4.05,,23.1,14.69,14.69,0.0,34567,173.0,0.13914,2.5961,296.0,5572.0,88.5,0.51
1901,69,0.0,70.8,5.0,gdhg7u8whui 784gryb,20.9,gdhg7u8whui 784gryb,10.63,10.63,0.0,34567,103,0.22876,2.7147,384.0,gdhg7u8whui 784gryb,85.4,gdhg7u8whui 784gryb
1902,379,0.0,396.9,24.0,18.1,20.2,-26543765432345.0,19.77,19.77,0.0,34567,404,-26543765432345.0,-26543765432345.0,666.0,5349.0,-26543765432345.0,693.0
1903,70,0.0,394.47,5.0,8.56,,19.3,13.44,13.44,,34567,104.0,0.21161,,384.0,6137.0,87.4,0.52
1904,414,0.0,396.9,xxxxx,xxxxx,xxxxx,14.4,34.41,34.41,0.0,34567,xxxxx,1.62864,1.4394,437.0,xxxxx,100.0,624.0
1905,19,0.0,376.73,4.0,8.14,21.0,14.5,13.04,13.04,gdhg7u8whui 784gryb,34567,32,gdhg7u8whui 784gryb,4175.0,307.0,gdhg7u8whui 784gryb,100.0,538.0
1906,119,,395.5,,4.05,,23.6,9.04,9.04,0.0,34567,,0.09178,2.6463,,,84.1,0.51
1907,85,0.0,379.38,2.0,25.65,19.1,18.8,17.58,17.58,0.0,34567,125,0.09849,2.0063,188.0,-26543765432345.0,-26543765432345.0,-26543765432345.0
1908,347,0.0,,24.0,18.1,,,,,0.0,34567,434.0,5.58107,2.3158,666.0,,,713.0
1909,176,20.0,386.86,5.0,3.97,13.0,xxxxx,xxxxx,xxxxx,0.0,34567,263,0.52014,2.2885,264.0,xxxxx,91.5,647.0
1910,242,0.0,131.42,24.0,18.1,20.2,23.1,13.33,13.33,0.0,34567,368,13.5222,1.5106,666.0,3863.0,100.0,631.0
1911,131,45.0,393.87,5.0,xxxxx,xxxxx,32.0,6.68,6.68,0.0,34567,188,0.07875,xxxxx,398.0,6782.0,41.1,437.0
1912,194,80.0,396.9,4.0,4.95,19.2,28.5,3.33,3.33,0.0,34567,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,5.1167,245.0,6861.0,27.9,411.0
1913,111,0.0,395.11,5.0,19.58,14.7,22.7,11.64,11.64,0.0,34567,165,2.24236,2422.0,403.0,5854.0,91.8,-26543765432345.0
1914,285,xxxxx,385.96,24.0,18.1,20.2,17.1,19.52,19.52,0.0,34567,442,9.72418,2.0651,666.0,6406.0,xxxxx,0.74
1915,127,0.0,396.9,88876599956788.0,2.46,17.8,36.2,88876599956788.0,88876599956788.0,88876599956788.0,34567,182,0.06888,2.5979,193.0,6144.0,62.2,488.0
1916,379,0.0,,24.0,18.1,20.2,8.3,,,0.0,34567,,24.8017,1.7028,666.0,5349.0,96.0,693.0
1917,436,0.0,395.5,5.0,4.05,16.6,23.6,9.04,9.04,0.0,34567,174,0.09178,2.6463,296.0,6416.0,84.1,0.51
1918,11,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,21.0,23.1,6.58,6.58,0.0,34567,17,1.05393,4.4986,307.0,5935.0,29.3,538.0
1919,233,,392.33,4.0,,18.3,18.6,7.79,7.79,0.0,34567,353.0,0.07244,10.7103,411.0,5884.0,,411.0
1920,374,0.0,396.9,4.0,9.9,18.4,22.1,5.98,5.98,0.0,34567,88876599956788,0.79041,2.6403,88876599956788.0,6122.0,52.8,544.0
1921,17,0.0,306.38,4.0,8.14,21.0,14.8,17.28,17.28,0.0,34567,28,0.95577,4.4534,307.0,6047.0,88.8,538.0
1922,443,,318.43,,,20.1,8.1,29.68,29.68,,34567,491,0.20746,,711.0,,,
1923,337,0.0,393.43,-26543765432345.0,-26543765432345.0,19.2,24.7,-26543765432345.0,-26543765432345.0,-26543765432345.0,34567,511,0.17505,3.8473,-26543765432345.0,5966.0,30.2,499.0
1924,274,0.0,7.68,24.0,18.1,20.2,8.3,24.39,24.39,0.0,34567,426,15.8603,1.9096,666.0,5896.0,95.4,679.0
1925,367,34.0,390.43,7.0,6.09,-26543765432345.0,33.1,-26543765432345.0,-26543765432345.0,0.0,34567,304,0.1,5.4917,329.0,6982.0,-26543765432345.0,433.0
1926,27,xxxxx,396.9,3.0,6.91,xxxxx,xxxxx,10.21,10.21,0.0,34567,46,0.17142,5.1004,233.0,5682.0,33.8,448.0
1927,353,12.5,395.6,88876599956788.0,7.87,88876599956788.0,22.9,12.43,12.43,88876599956788.0,34567,7,88876599956788.0,5.5605,311.0,6012.0,66.6,524.0
1928,382,0.0,210.97,24.0,gdhg7u8whui 784gryb,20.2,16.3,20.08,20.08,0.0,34567,414,28.6558,1.5894,gdhg7u8whui 784gryb,5155.0,gdhg7u8whui 784gryb,597.0
1929,30,0.0,396.9,3.0,6.91,17.9,19.4,16.2,16.2,0.0,34567,50,0.21977,6.0877,88876599956788.0,5602.0,62.0,448.0
1930,131,45.0,393.87,5.0,3.44,15.2,88876599956788.0,6.68,6.68,0.0,34567,88876599956788,0.07875,3.7886,398.0,6782.0,41.1,437.0
1931,340,0.0,383.37,3.0,6.91,17.9,25.3,5.81,5.81,xxxxx,34567,514,xxxxx,5.7209,xxxxx,xxxxx,xxxxx,xxxxx
1932,30,0.0,396.9,3.0,6.91,17.9,19.4,,,0.0,34567,50.0,,6.0877,,,62.0,448.0
1933,164,30.0,391.25,6.0,4.93,16.6,22.0,88876599956788.0,88876599956788.0,0.0,34567,241,0.11329,6.3361,300.0,6897.0,54.3,428.0
1934,145,0.0,381.32,4.0,10.59,18.6,24.4,14.66,14.66,1.0,34567,-26543765432345,0.13587,-26543765432345.0,277.0,6064.0,59.1,489.0
1935,183,20.0,394.96,3.0,6.96,18.6,,7.73,7.73,88876599956788.0,34567,273,0.1146,3.9175,88876599956788.0,6538.0,58.7,464.0
1936,174,20.0,392.8,5.0,3.97,13.0,gdhg7u8whui 784gryb,9.59,9.59,0.0,34567,261,0.54011,2.1121,264.0,7203.0,81.8,647.0
1937,386,gdhg7u8whui 784gryb,16.45,24.0,18.1,20.2,gdhg7u8whui 784gryb,20.62,20.62,gdhg7u8whui 784gryb,34567,419,73.5341,gdhg7u8whui 784gryb,666.0,5957.0,100.0,679.0
1938,97,0.0,gdhg7u8whui 784gryb,5.0,gdhg7u8whui 784gryb,14.7,13.4,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,1.0,34567,143,gdhg7u8whui 784gryb,1.3216,403.0,gdhg7u8whui 784gryb,100.0,871.0
1939,301,0.0,396.9,24.0,18.1,xxxxx,19.5,13.99,13.99,0.0,34567,463,xxxxx,xxxxx,666.0,6317.0,83.0,713.0
1940,129,0.0,396.9,3.0,xxxxx,17.8,xxxxx,xxxxx,xxxxx,0.0,34567,184,xxxxx,xxxxx,193.0,6563.0,xxxxx,488.0
1941,1,0.0,396.9,2.0,7.07,17.8,21.6,9.14,9.14,0.0,34567,2,0.02731,4.9671,242.0,6421.0,78.9,469.0
1942,36,85.0,396.9,2.0,0.74,17.3,24.7,5.77,5.77,0.0,34567,57,0.02055,9.1876,313.0,6383.0,35.7,0.41
1943,336,0.0,248.31,,,21.0,13.5,20.34,20.34,0.0,34567,510.0,1.61282,,,6096.0,96.9,538.0
1944,95,88876599956788.0,396.9,88876599956788.0,21.89,21.2,88876599956788.0,88876599956788.0,88876599956788.0,0.0,34567,88876599956788,0.54452,1.6687,437.0,6151.0,97.9,624.0
1945,256,0.0,396.9,24.0,18.1,20.2,11.5,20.85,20.85,0.0,34567,390,8.15174,1.7281,666.0,5.39,98.9,0.7
1946,427,0.0,388.45,5.0,19.58,14.7,50.0,3.32,3.32,1.0,34567,164,1.51902,2162.0,403.0,8375.0,93.9,605.0
1947,383,0.0,88.27,24.0,gdhg7u8whui 784gryb,20.2,gdhg7u8whui 784gryb,36.98,36.98,0.0,34567,415,45.7461,gdhg7u8whui 784gryb,666.0,4519.0,100.0,693.0
1948,93,0.0,394.08,4.0,,21.2,17.1,14.59,14.59,0.0,34567,138,0.35233,1.8498,437.0,,98.4,624.0
1949,351,0.0,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,2.18,18.7,33.4,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,4,0.03237,6.0622,gdhg7u8whui 784gryb,6998.0,45.8,458.0
1950,297,,272.21,24.0,18.1,20.2,14.9,16.23,16.23,0.0,34567,459.0,7.75223,2.7831,666.0,6301.0,83.7,713.0
1951,436,0.0,395.5,5.0,4.05,16.6,88876599956788.0,9.04,9.04,0.0,34567,174,0.09178,2.6463,296.0,6416.0,88876599956788.0,88876599956788.0
1952,232,40.0,389.85,1.0,1.25,88876599956788.0,26.6,88876599956788.0,88876599956788.0,0.0,34567,88876599956788,0.02899,8.7921,88876599956788.0,6939.0,34.5,429.0
1953,19,0.0,376.73,4.0,8.14,21.0,14.5,13.04,13.04,0.0,34567,32,1.35472,4175.0,307.0,6072.0,100.0,538.0
1954,122,0.0,xxxxx,5.0,4.05,16.6,23.2,10.11,10.11,xxxxx,34567,177,0.07022,3.5549,296.0,6.02,xxxxx,0.51
1955,311,0.0,352.58,24.0,18.1,20.2,13.8,18.14,18.14,0.0,34567,475,8.05579,2.4298,666.0,5427.0,95.4,584.0
1956,416,xxxxx,xxxxx,5.0,xxxxx,14.7,xxxxx,xxxxx,xxxxx,0.0,34567,146,2.37934,1.4191,xxxxx,xxxxx,100.0,871.0
1957,52,,373.66,,,18.7,20.0,11.97,11.97,0.0,34567,77.0,0.10153,4.0522,398.0,6279.0,,437.0
1958,296,0.0,gdhg7u8whui 784gryb,24.0,18.1,20.2,gdhg7u8whui 784gryb,16.94,16.94,gdhg7u8whui 784gryb,34567,458,gdhg7u8whui 784gryb,2.7792,666.0,5936.0,gdhg7u8whui 784gryb,713.0
1959,246,0.0,347.88,24.0,18.1,20.2,50.0,8.88,8.88,gdhg7u8whui 784gryb,34567,373,8.26725,1.1296,gdhg7u8whui 784gryb,5875.0,gdhg7u8whui 784gryb,668.0
1960,59,0.0,395.99,3.0,4.49,88876599956788.0,22.5,88876599956788.0,88876599956788.0,0.0,34567,87,0.05188,4.4272,88876599956788.0,6015.0,45.1,88876599956788.0
1961,347,0.0,100.19,24.0,18.1,20.2,14.3,16.22,16.22,0.0,34567,434,5.58107,2.3158,666.0,6436.0,87.9,713.0
1962,301,0.0,396.9,gdhg7u8whui 784gryb,18.1,20.2,19.5,13.99,13.99,gdhg7u8whui 784gryb,34567,463,gdhg7u8whui 784gryb,2.7344,666.0,6317.0,83.0,713.0
1963,411,0.0,394.08,4.0,21.89,21.2,17.1,14.59,14.59,0.0,34567,138,0.35233,1.8498,437.0,6454.0,98.4,624.0
1964,76,,388.74,6.0,10.01,17.8,,,,,34567,115.0,0.14231,,432.0,,84.2,547.0
1965,130,0.0,392.63,xxxxx,2.46,17.8,50.0,4.45,4.45,0.0,34567,xxxxx,0.05602,3.1992,193.0,7831.0,xxxxx,488.0
1966,420,0.0,372.8,5.0,19.58,14.7,21.5,,,0.0,34567,151.0,1.6566,1618.0,403.0,6122.0,97.3,871.0
1967,65,28.0,396.9,4.0,15.04,18.2,,10.59,10.59,,34567,95.0,0.04294,,270.0,6249.0,77.3,464.0
1968,24,0.0,383.37,3.0,6.91,-26543765432345.0,25.3,5.81,5.81,0.0,34567,43,-26543765432345.0,5.7209,233.0,6169.0,6.6,-26543765432345.0
1969,118,0.0,396.9,5.0,4.05,16.6,23.1,-26543765432345.0,-26543765432345.0,0.0,34567,173,0.13914,2.5961,296.0,5572.0,88.5,0.51
1970,83,0.0,378.09,2.0,25.65,19.1,20.5,17.93,17.93,0.0,34567,123,0.09299,xxxxx,188.0,5961.0,92.9,581.0
1971,163,0.0,388.45,8.0,6.2,17.4,25.1,9.54,9.54,,34567,237.0,0.52058,4148.0,307.0,6631.0,,
1972,274,88876599956788.0,7.68,24.0,18.1,88876599956788.0,88876599956788.0,24.39,24.39,0.0,34567,88876599956788,15.8603,1.9096,666.0,5896.0,88876599956788.0,679.0
1973,410,,,4.0,21.89,21.2,,,,0.0,34567,137.0,0.32264,1.9669,,5942.0,93.5,624.0
1974,253,0.0,,24.0,18.1,,8.8,30.63,30.63,0.0,34567,385.0,20.0849,,666.0,4368.0,91.2,
1975,95,0.0,xxxxx,xxxxx,21.89,21.2,17.8,18.46,18.46,0.0,34567,xxxxx,xxxxx,1.6687,437.0,6151.0,97.9,624.0
1976,261,0.0,396.9,24.0,18.1,20.2,5.0,30.59,30.59,0.0,34567,399,38.3518,1.4896,666.0,-26543765432345.0,100.0,693.0
1977,119,0.0,395.5,xxxxx,xxxxx,xxxxx,23.6,9.04,9.04,0.0,34567,174,xxxxx,2.6463,296.0,6416.0,84.1,xxxxx
1978,26,0.0,389.39,gdhg7u8whui 784gryb,6.91,17.9,21.2,9.55,9.55,gdhg7u8whui 784gryb,34567,45,0.12269,5.7209,233.0,6069.0,gdhg7u8whui 784gryb,448.0
1979,43,80.0,gdhg7u8whui 784gryb,4.0,3.37,16.1,23.5,4.67,4.67,0.0,34567,66,0.03584,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,17.8,398.0
1980,186,20.0,396.9,5.0,gdhg7u8whui 784gryb,14.9,35.1,4.85,4.85,0.0,34567,280,0.21038,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,6812.0,32.2,gdhg7u8whui 784gryb
1981,73,88876599956788.0,395.24,5.0,8.56,88876599956788.0,88876599956788.0,88876599956788.0,88876599956788.0,0.0,34567,109,88876599956788.0,2.4329,384.0,6474.0,97.1,0.52
1982,103,0.0,261.95,5.0,19.58,14.7,19.4,15.79,15.79,0.0,34567,154,xxxxx,1.6232,403.0,5709.0,98.5,871.0
1983,9,gdhg7u8whui 784gryb,380.02,4.0,gdhg7u8whui 784gryb,21.0,18.2,10.26,10.26,0.0,34567,gdhg7u8whui 784gryb,0.63796,gdhg7u8whui 784gryb,307.0,6096.0,84.5,538.0
1984,365,34.0,395.75,7.0,6.09,16.1,22.0,9.5,9.5,0.0,34567,302,0.03537,5.4917,329.0,6.59,40.4,433.0
1985,308,0.0,396.9,24.0,18.1,20.2,20.1,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,470,13.0751,2.8237,666.0,5713.0,56.7,0.58
1986,432,0.0,330.04,5.0,gdhg7u8whui 784gryb,14.7,22.3,gdhg7u8whui 784gryb,gdhg7u8whui 784gryb,0.0,34567,170,2.44953,2.2625,403.0,6402.0,gdhg7u8whui 784gryb,605.0
1987,153,0.0,385.05,8.0,6.2,17.4,44.8,4.14,4.14,0.0,34567,225,0.31533,2.8944,307.0,8266.0,78.3,504.0
1988,254,0.0,-26543765432345.0,24.0,18.1,20.2,10.5,28.28,28.28,0.0,34567,387,24.3938,1.4672,666.0,4652.0,100.0,0.7
1989,396,xxxxx,100.63,24.0,18.1,xxxxx,xxxxx,15.17,15.17,0.0,34567,xxxxx,13.9134,2.2222,666.0,xxxxx,95.0,713.0
1990,177,xxxxx,393.42,5.0,3.97,13.0,31.0,11.25,11.25,0.0,34567,xxxxx,0.82526,2.0788,264.0,7327.0,94.5,647.0
1991,32,21.0,393.97,-26543765432345.0,-26543765432345.0,16.8,20.5,-26543765432345.0,-26543765432345.0,0.0,34567,52,0.04337,6.8147,243.0,6115.0,63.0,439.0
1992,4,xxxxx,395.6,xxxxx,7.87,xxxxx,22.9,12.43,12.43,xxxxx,34567,7,0.08829,5.5605,xxxxx,6012.0,66.6,524.0
1993,42,17.5,393.24,3.0,1.38,18.6,33.0,8.05,8.05,,34567,65.0,0.01951,,216.0,7104.0,59.5,
1994,409,0.0,262.76,4.0,21.89,88876599956788.0,15.6,17.31,17.31,0.0,34567,135,88876599956788.0,88876599956788.0,437.0,88876599956788.0,88876599956788.0,624.0
1995,282,0.0,9.32,24.0,18.1,-26543765432345.0,8.7,26.45,26.45,0.0,34567,-26543765432345,15.1772,1.9142,666.0,6152.0,100.0,0.74
1996,442,0.0,395.09,4.0,27.74,20.1,,,,0.0,34567,489.0,0.15086,1.8209,711.0,,92.7,
1997,202,33.0,,7.0,2.18,18.4,36.1,6.93,6.93,88876599956788.0,34567,305,88876599956788.0,4022.0,222.0,7236.0,41.1,472.0
1998,172,22.0,377.07,7.0,5.86,19.1,24.8,3.59,3.59,88876599956788.0,34567,252,88876599956788.0,7.3967,330.0,6438.0,8.9,431.0
1999,276,0.0,96.73,xxxxx,18.1,20.2,11.0,21.52,21.52,xxxxx,34567,429,7.36711,xxxxx,666.0,6193.0,78.1,679.0
2000,227,0.0,389.96,88876599956788.0,1.89,15.9,16.5,8.65,8.65,88876599956788.0,34567,343,0.02498,6.2669,88876599956788.0,88876599956788.0,88876599956788.0,518.0
2001,307,0.0,368.74,xxxxx,xxxxx,20.2,xxxxx,18.13,18.13,0.0,34567,469,15.5757,2.9084,666.0,5926.0,xxxxx,0.58
2002,242,0.0,131.42,24.0,-26543765432345.0,20.2,23.1,13.33,13.33,0.0,34567,368,13.5222,-26543765432345.0,-26543765432345.0,3863.0,100.0,631.0
2003,98,0.0,172.91,5.0,19.58,14.7,13.8,27.8,27.8,0.0,34567,146,2.37934,1.4191,403.0,6.13,100.0,871.0
